id,name,address,latitude,longitude,categories
ljnjap6GNVMvS1DNzgDOYA,Caveman Cafe,"88 W Pender Street, Unit 1005, Vancouver, BC V6B 6N8, Canada",49.280802324947445,-123.10703500282293,"Organic Stores, Salad, Cafes"
MimKL6DZXjW6pAB2USBADg,Score on Davie,"1262 Davie Street, Vancouver, BC V6J 5L1, Canada",49.2823221457395,-123.134614739512,"Sports Bars, Breakfast & Brunch, American"
O3_ythnBjOV4MYnRNRKMvQ,Romer's,"8683 Kerr Street, Vancouver, BC V5S 4V7, Canada",49.2059813,-123.0424806,"Burgers, Salad, Seafood"
JgSGpSMHbGecAXs_o1rE_g,Dinesty Dumpling House,"1719 Robson Street, Vancouver, BC V6G 1C8, Canada",49.2908176,-123.1343912,"Chinese, Bubble Tea, Dumplings"
icnhQBqyrQ2joCRtV_OORw,Nero Waffles,"1703 Robson Street, Vancouver, BC V6G 1C9, Canada",49.2907208,-123.1339952,"Desserts, Breakfast & Brunch, Waffles"
AEyYLMPjnFWybOmD81pufg,The Mexican Antojitos Y Cantina,"1049 Granville Street, Vancouver, BC V6Z 1L4, Canada",49.2787726,-123.1240268,Mexican
K1nbiOrySlw_-XG-3NmErQ,Manoush'eh,"620 Davie Street, Vancouver, BC V6B 2G5, Canada",49.27667072314417,-123.12570086148996,"Lebanese, Mediterranean, Halal"
KqJa1YxZM0PT4iHqhJJjFA,Fisherman's Terrace Seafood Restaurant,"4151 Hazelbridge Way, Suite 3580, Richmond, BC V6X 4J7, Canada",49.18408,-123.13404,"Seafood, Dim Sum, Cantonese"
8imPeaQUj5Cbon_4kcrhQg,Cuchillo,"261 Powell Street, Vancouver, BC V6A 2Z1, Canada",49.283262611469,-123.098110155039,"Latin American, Bars"
kDZTaeUaf78Jd25ktX8a8g,Number E Food,"1308 Burrard Street, Vancouver, BC V6Z 2B7, Canada",49.277569151917,-123.131018212403,"Sandwiches, Coffee & Tea"
daocqDkXz0zubenI8ilYlw,Wang's Shanghai Cuisine,"3328 Kingsway, Suite 110, Vancouver, BC V5T 5L1, Canada",49.232843,-123.034814,"Noodles, Dumplings, Dim Sum"
2L1qgW7SlsvmEs5wzAaM0w,Riley's Fish & Steak,"200 Burrard Street, Vancouver, BC V6C 3L6, Canada",49.287641996861865,-123.1151089,"Seafood, Diners, Steakhouses"
zn23grdBC9wQ9ZXjyzJEEw,ChoCho Hot Pot Burnaby,"4361 Kingsway, Suite 4A, Burnaby, BC V5H 1Z9, Canada",49.231234,-123.006943,"Hot Pot, Chinese"
1KSuwOYn_bmhAEAgUriYYA,Kissa Tanto,"263 E Pender Street, Vancouver, BC V6A 1T8, Canada",49.2806222,-123.09811350061167,"Japanese, Italian"
tWYNyFXHkLA4N0UfIQHCnA,Bun Cha Ca Hoang Yen,"5155 Victoria Drive, Vancouver, BC V5P 3V1, Canada",49.237861,-123.065794,"Vietnamese, Noodles"
w3HSOOqJednBOYbO3fajvQ,Les Faux Bourgeois,"663 E 15th Avenue, Vancouver, BC V5T 2R6, Canada",49.2572813531481,-123.089767330802,"French, Cafes"
hDQmMvYXpLVXwhXSu9HsOQ,Nightingale,"1017 West Hastings Street, Vancouver, BC V6E 0C4, Canada",49.2874110331456,-123.117770967577,"Live/Raw Food, Canadian (New), Pizza"
vdQbDQHPq_nA30ngxEgMJg,Tutto,"901 Homer St, Vancouver, BC V6B 2W6, Canada",49.2784091,-123.1187139,"Italian, Bars"
I5NCVB8uYiYpXg6nfHdnRw,Tang Vietnamese Restaurant & Bar,"8611 Alexandra Rd, Unit 170, Richmond, BC V6X 1C3, Canada",49.17853,-123.12748,"Vietnamese, Cocktail Bars"
mSnJ3u1Cu5YRuw1Pp6mXXA,Chef's Playground Eatery,"170-12420 No.1 Road, Richmond, BC V7E 6N2, Canada",49.12477,-123.18087,Comfort Food
RdFbbpFq3ly-2R_CaLXXsg,Continental Seafood Restaurant,"11700 Cambie Road, Suite 150, Richmond, BC V6X 1L5, Canada",49.18391,-123.09426,"Seafood, Dim Sum, Cantonese"
sDmD24fm6R7GVSf4Jn5vdg,Alouette Bistro,"567 Hornby Street, Vancouver, BC V6C 2E8, Canada",49.2853,-123.11829,"French, Seafood, Cocktail Bars"
yK7KreB1_jUPc3uTAH110A,Uno Beef Noodle,"135 - 2811 Number 3 Road, Richmond, BC V6X 2B2, Canada",49.193218109957115,-123.12980856746434,"Noodles, Bubble Tea, Dim Sum"
o5YLdmUogknjtDzUBv5Smw,Tom Sushi,"1175 Davie St, Vancouver, BC V6E 1N2, Canada",49.2815608,-123.1327476,"Sushi Bars, Japanese"
Laiv2EnIwZFMF9Jy-R0PAA,Absinthe Bistro,"952 Commercial Drive, Vancouver, BC V5L 3W7, Canada",49.27607,-123.0692457,"French, Bistros, Desserts"
G42wPpAtYNSoX5QxEt6pVg,Di Beppe,"8 W Cordova Street, Vancouver, BC V6B 1C9, Canada",49.28237705581659,-123.10450043738042,Italian
GQK8trvjFDBuETAchTMVIA,Nemesis Coffee,"302 W Hastings Street, Vancouver, BC V6B 2N4, Canada",49.28281595985871,-123.11027107703038,Cafes
gV9lrbWr1CE1Jl0E58UO2g,Minami,"1118 Mainland Street, Vancouver, BC V6B 2T9, Canada",49.2752733,-123.1207029,"Japanese, Sushi Bars"
ecN9xzc80xkm9XOFNCUDmw,Tokyo In April,"526 Abbott St, Vancouver, BC V6B 2L1, Canada",49.2806813,-123.1073936,Japanese
EC4hb3ie0NBoyw7zgrsnmA,Henry's Kitchen Pasta & Grill,"2410 Saint Johns Street, Port Moody, BC V3H 2B1, Canada",49.27694,-122.85777,"Italian, French"
PGncmTdbqJrmb5BI7atc3w,Rice Holic,"8700 McKim Way, Suite 2178, Richmond, BC V6X 2H8, Canada",49.18324601236517,-123.12660701572896,"Taiwanese, Food Court"
7Tne8P5zyMpJKfpjQg2P-g,L'Abattoir,"217 Carrall Street, Vancouver, BC V6B 2J1, Canada",49.2831869855333,-123.104450140894,"French, Canadian (New), Breakfast & Brunch"
xotJvqXcjsDSnbL993L5rg,Gringo,"27 Blood Alley Square, Vancouver, BC V6B 0C4, Canada",49.2831553214634,-123.105335897068,"Mexican, Bars, Tex-Mex"
U3L-K3CQsQOSETtmTCxiBQ,Noah's Cafe,"1096 Denman Street, Vancouver, BC V6G 2M8, Canada",49.28827635407216,-123.1400279,"Japanese, Tapas Bars, Cocktail Bars"
L4jCuG3S-6kY0FVAyjiLNQ,Nero Waffles,"1002 Seymour Street, Vancouver, BC V6B 3M6, Canada",49.27834403099929,-123.122044653573,"Waffles, Coffee & Tea"
fkyvSfVYXHlG6nHRTBhsdA,JOEY Shipyards,"125 Victory Ship Way Unit #110, North Vancouver, Shipyards, Vancouver, BC V7L 0G5, Canada",49.309966,-123.0786044,"Canadian (New), Lounges, Steakhouses"
aB_wfxQvgso67lzgrrfTuA,Cactus Club Cafe,"588 Burrard Street, Vancouver, BC V6C 1A8, Canada",49.28554081466174,-123.11881637137162,"Canadian (New), Cocktail Bars"
6iOAgzJ0DRZNSKA3FSrrOg,La Taqueria Pinche Taco Shop,"2450 Yukon Street, Vancouver, BC V5Z 3V6, Canada",49.263617,-123.112593,Mexican
nzAEGOFDbTHwJSuZijS4AA,Tsujiri Richmond,"1535 - 4777 Mcclelland Road, Richmond, BC V6X 0N1, Canada",49.17769,-123.12159,"Japanese, Desserts, Tea Rooms"
rFpTo5-e7ML6rCVs64PxtA,Kozak Ukrainian Restaurant,"1 West Cordova Street, Vancouver, BC V6B 1C8, Canada",49.282654874794794,-123.1046559827506,Ukrainian
AbvEpKZyPBRdXsHvMZz0sw,Kinemi's Kitchen,"7751 Champlain Crescent, Vancouver, BC V5S 4J6, Canada",49.2142196,-123.0301573,"Pizza, Italian"
g5o9JFDmeYm4xR1h6myDIg,Okini Restaurant & Bar,"1864 W 57th Avenue, Vancouver, BC V6P 1T7, Canada",49.21921,-123.1494,"Japanese, Wine Bars, Cocktail Bars"
XXEhaKrcgD4YcK9Q9rq8ww,Afghan Chopan Restaurant,"1600- 8260 Westminster Highway, Richmond, BC V6X 3Y2, Canada",49.16996743188082,-123.13302061349331,Afghan
xYDUAD4JGLVnQUB2i8njBA,Rodney's Oyster House,"1228 Hamilton Street, Vancouver, BC V6B 6L2, Canada",49.274326,-123.123131,Seafood
SIdbZcE5gp63UjRN8tLr0g,The Red Accordion,"1616 Alberni Street, Vancouver, BC V6G 1A6, Canada",49.29025,-123.131768,"Cocktail Bars, Tapas/Small Plates"
uAROEz8D29elXoNxjnPrkQ,Twisted Fork,"213 Carral Street, Vancouver, BC V6B 2J2, Canada",49.283194,-123.104445,"French, Breakfast & Brunch"
5zaHXBtIQQMw96vveToEZQ,Mr Bro Korean Bistro & Izakaya,"8580 Alexandra Road, Unit 2000, Richmond, BC V6X 4B3, Canada",49.17817691704061,-123.12766199013662,Korean
YKwslU27SRfzgpAPV6UxUg,Trafiq Cafe & Bakery,"4216 Main Street, Vancouver, BC V5V 3R1, Canada",49.2474862,-123.1011218,"Cafes, Bakeries, Coffee & Tea"
jbey2djN2H45SAaKZnIxjQ,Four Winds Brewing,"4-7355 72nd Street, Delta, BC V4G 1L5, Canada",49.13632,-123.026946,"Mexican, Tapas/Small Plates, Brewpubs"
uuXiaNDeUySh9NSbSRuEYQ,Ancora Waterfront Dining and Patio,"1600 Howe Street, Vancouver, BC V6Z 2L9, Canada",49.273853456158875,-123.13257765112428,"Seafood, Japanese, Peruvian"
i0xnuLimVcuSoBqO265obA,Hokkaido Ramen Santouka,"1690 Robson Street, Vancouver, BC V6G 1C7, Canada",49.290236,-123.133811,"Ramen, Noodles"
wTVzfhLOYUyd6wY9LJWC2w,Khob Khun Thai Cuisine,"1143 Austin Avenue, Coquitlam, BC V3K 3P4, Canada",49.249218,-122.858859,Thai
KtVkoMeLF0b7A4ThWojjEA,Chef Tony,"4600 No 3 Road, Suite 101, Richmond, BC V6X 2C2, Canada",49.1805103,-123.1363684,"Dim Sum, Cantonese"
